pub_date	title	venue	excerpt	url_slug	paper_url	project_url
2018-09-15	Texar : A Modularized , Versatile , and Extensible Toolbox for Text Generation	Proceedings of Workshop for NLP Open Source Software	We introduce Texar, an open-source toolkit aiming to support the broad set of text generation tasks.	texar	https://hunterhector.github.io/files/papers/Hu_et_al._-_2018_-_Proceedings_of_Workshop_for_NLP_Open_Source_Software.pdf	https://github.com/asyml/texar
2018-09-03	Automatic Event Salience Identification	EMNLP 2018		emnlp2018salience	https://hunterhector.github.io/files/papers/Liu_et_al._-_2018_-_EMNLP_2018.pdf	https://github.com/hunterhector/EventSalience
2018-03-03	Towards Better Text Understanding and Retrieval through Kernel Entity Salience Modeling	SIGIR 2018		sigir2018rank_salience	https://hunterhector.github.io/files/papers/Xiong_et_al._-_2018_-_SIGIR_2018.pdf	http://boston.lti.cs.cmu.edu/appendices/SIGIR2018-KESM/
2018-01-13	Graph-Based Decoding for Event Sequencing and Coreference Resolution	7th International Conference on Computational Linguistics(COLING 2018)	We study two types of relation: Event Coreference and Event Sequencing. We show that the popular tree-like decoding structure for automated Event Coreference is not suitable for Event Sequencing. To this end, we propose a graph-based decoding algorithm that is applicable to both tasks.	coling2018sequencing	https://hunterhector.github.io/files/papers/Liu,_Mitamura,_Hovy_-_2018_-_Proceedings_of_the_27th_International_Conference_on_Computational_Linguistics.pdf	
2017-11-13	Multi-lingual Extraction and Integration of Entities, Relations, Events and Sentiments into ColdStart++ KBs with the SAFT System	TAC 2017		tac2017	https://hunterhector.github.io/files/papers/Chalupsky_et_al._-_2018_-_TAC_2017.pdf	
2017-11-13	Events Detection, Coreference and Sequencing: What's next? Overview of the TAC KBP 2017 Event Track.	TAC 2017		tac2017	https://hunterhector.github.io/files/papers/Mitamura,_Liu,_Hovy_-_2018_-_TAC_2017.pdf	
2017-11-07	JointSem: Combining Query Entity Linking and Entity based Document Ranking	Proceedings of the 26th ACM International Conference on Information and Knowledge Management (CIKM 2017)	This work presents JointSem, a joint semantic ranking system that combines query entity linking and entity-based document ranking. In JointSem, the spooing and linking signals are used to describe the importance of candidate entities in the query, and the linked entities are utilized to provide additional ranking features for the documents.	cikm2017joint	https://hunterhector.github.io/files/papers/Xiong_et_al._-_2017_-_Proceedings_of_the_26th_ACM_International_Conference_on_Information_and_Knowledge_Managem.pdf	
2017-08-07	De-duping URLs with Sequence-to-Sequence Neural Networks	SIGIR 2017 Proceedings of the 40th International ACM SIGIR Conference on Research and Development in Information Retrieval	Traditional de-duping methods are usually limited to heavily engineered rule matching strategies. In this work, we propose a novel URL de-duping framework based on sequence-to-sequence (Seq2Seq) neural networks. A	sigir2017dedup	https://hunterhector.github.io/files/papers/Xu,_Liu,_Callan_-_2017_-_Proceedings_of_the_40th_International_ACM_SIGIR_Conference_on_R.pdf	
2017-03-28	Overview of TAC-KBP 2016 Event Nugget Track	TAC 2016	This is an overview to the TAC KBP 2016 event track.	tac_2016overview	https://hunterhector.github.io/files/papers/Mitamura,_Liu,_Hovy_-_2017_-_TAC_2016.pdf	
2017-03-28	CMU-LTI at KBP 2016 Event Nugget Track	TAC 2016	This paper describes the LTI team's participation at TAC 2016	tac_2016event	https://hunterhector.github.io/files/papers/Liu_et_al._-_2016_-_TAC_2016.pdf	
2016-08-07	Harnessing Deep Neural Networks with Logic Rules	Proceedings of the 54th Annual Meeting of the Association for Computational Linguistics	We propose a general framework capable of enhancing various types of neural networks (e.g., CNNs and RNNs) with declarative first-order logic rules.	acl_2016logic	https://hunterhector.github.io/files/papers/Hu_et_al._-_2016_-_ACL_16_Proceedings_of_the_54th_Annual_Meeting_of_the_Association_for_Computational_Linguistics.pdf	https://github.com/ZhitingHu/logicnn
2016-06-16	Exploring the steps of Verb Phrase Ellipsis	Proceedings of the Workshop on Coreference Resolution Beyond OntoNotes (CORBON 2016), co-located with NAACL 2016	Verb Phrase Ellipsis is a well-studied topic in theoretical linguistics but has received little attention as a computational problem. Here we propose a decomposition of the overall resolution problem into three tasks: target detection, antecedent head resolution, and antecedent boundary detection and implement a number of computational approaches for each one.	naacl_2016vpe	https://hunterhector.github.io/files/papers/Liu_VPE_NAACL16.pdf	https://github.com/hunterhector/VerbPhraseEllipsis
2016-06-12	Unsupervised Ranking Model for Entity Coreference Resolution	Proceedings of NAACL-HLT 2016	In this paper, we propose a generative, unsupervised ranking model for entity coreference resolution by introducing resolution mode variables	naacl2016coref	https://hunterhector.github.io/files/papers/Ma,_Liu,_Hovy_-_2016_-_The_15th_Annual_Conference_of_the_North_American_Chapter.pdf	
2015-11-01	CMU-LTI at KBP 2015 Event Track	TAC 2015	This paper describes the LTI team's participation at TAC 2015	tac2015nugget	https://hunterhector.github.io/files/papers/Liu_et_al._-_2015_-_CMU-LTI_at_KBP_2015_Event_Track.pdf	
2015-11-01	Overview of TAC-KBP 2015 Event Nugget Track	TAC 2015	This paper describes three TAC KBP Event Nugget tasks in TAC 2015	tac2015overview	https://hunterhector.github.io/files/papers/Mitamura,_Liu,_Hovy_-_2015_-_TAC_KBP_2015.pdf	
2015-06-04	Evaluation Algorithms for Event Nugget Detection : A Pilot Study	Proceedings of the 3rd Workshop on EVENTS at the NAACL-HLT	We analyze the problems of evaluating multiple event mention attributes and discontinuous event mention spans. In addition, we identify a few limitations in the evaluation algorithm used for the pilot task and propose some potential improvements.	naacl_event_workshop2015	https://hunterhector.github.io/files/papers/Liu,_Mitamura,_Hovy_-_2015_-_Proceedings_of_the_3rd_Workshop_on_EVENTS_at_the_NAACL-HLT.pdf	
2014-09-04	CMU Multiple-choice Question Answering System at NTCIR-11 QA-Lab	NTCIR-11	We describe CMU's UIMA-based modular automatic question answering(QA) system.	ntcir11	https://hunterhector.github.io/files/papers/Wang,_Gee,_Nyberg_-_2014_-_Proceedings_of_the_11th_NTCIR_Conference.pdf	
2014-05-26	Supervised Within-Document Event Coreference using Information Propagation	LREC 2014	We present a supervised method for event coreference resolution that uses a rich feature set and propagates information alternatively between events and their arguments, adapting appropriately for each type of argument.	lrec2014coref	https://hunterhector.github.io/files/papers/Liu_et_al._-_2014_-_Proceedings_of_the_Ninth_International_Conference_on_Language_Resources_and_Evaluation_LREC14.pdf	
2014-05-26	Detecting Subevent Structure for Event Coreference Resolution	LREC 2014	In the task of event coreference resolution, recent work has shown the need to perform not only full coreference but also partial coreference of events. We show that subevents can form a particular hierarchical event structure. This paper examines a novel two-stage approach to finding and improving subevent structures.	lrec2014subevent	https://hunterhector.github.io/files/papers/Araki_et_al._-_2014_-_Proceedings_of_the_Ninth_International_Conference_on_Language_Resources_and_Evaluation_LREC14.pdf	
2012-07-01	PolyUCOMP: combining semantic vectors with skip bigrams for semantic textual similarity	SemvEval 2012		semeval_2012	https://hunterhector.github.io/files/papers/Xu,_Lu,_Liu_-_2012_-_SemEval_12_Proceedings_of_the_First_Joint_Conference_on_Lexical_and_Computational_Semantics.pdf	
2012-04-16	Combining Classification with Clustering for Web Person Disambiguation	Proceedings of the 21st international conference companion on World Wide Web	This paper presents a new key-phrased clustering method combined with a second step re-classification to identify outliers to improve cluster performance.	www2012	https://hunterhector.github.io/files/papers/Xu,_Lu,_Liu_-_2012_-_Proceedings_of_the_21st_international_conference_companion_on_World_Wide_Web.pdf	
2012-01-01	Topic Sequence Kernel	Lecture Notes in Computer Science		lncs2012	https://hunterhector.github.io/files/papers/Xu_et_al._-_2012_-_Lecture_Notes_in_Computer_Science.pdf	
2012-01-01	Aggregating skip bigrams into key phrase-based vector space model for web person disambiguation.	KONVENS 2012		konvens2012	https://hunterhector.github.io/files/papers/Xu,_Lu,_Liu_-_2012_-_Proceedings_of_KONVENS_2012.pdf	
2011-11-14	PolyUCOMP in TAC 2011 Entity Linking and Slot-Filling	In Proceedings of the Fourth Text Analysis Conference (TAC 2011).	This paper describes PolyUCOMP team's approach to the TAC-KBP 2011 Entity LInking and Slot Filling tasks	tac2011	https://hunterhector.github.io/files/papers/Jian_et_al._-_2011_-_Proceedings_of_the_Fourth_Text_Analysis_Conference_TAC_2011.pdf	
2011-07-24	High Performance Clustering for Web Person Name Disambiguation Using Topic Capturing	SIGIR2011 Workshop on Entity Orientation Search	We identify a topic drift problem in clustering web person name disambiguation and propose a fix by maintaining the topic words.	sigir2011namedisambiguation	https://hunterhector.github.io/files/papers/Liu,_Lu,_Xu_-_2011_-_The_first_International_Workshop_on_Entity_Orientation_Search,_SIGIR2011_Workshop.pdf	
